state-code,percent-one,percent-two,percent-three
00,73.9862513692257,18.910537954538217,7.103210676236086
01,50.6973837325662,32.588083757172896,16.714532510260895
02,81.8969111392037,13.044004590506486,5.059084270289814
03,53.01494001911378,18.762381801353534,28.222678179532686
04,45.05471599791558,24.438959685442228,30.50632431664219
05,82.57282259922675,15.56502627526548,1.8621511255077683
06,77.80261745851186,17.580011756323955,4.617370785164185
07,59.39219705382572,32.51727534663125,8.090527599543028
08,89.097948360223,9.433380661910643,1.4686709778663516
09,88.552454325131,10.153499477792515,1.2940461970764858
10,83.89829660198403,14.485391335201266,1.6163120628147014
11,36.28993558551993,34.00013429919568,29.709930115284394
12,35.97400354260631,33.777905612884624,30.24809084450907
13,37.845754009851895,34.98818803316853,27.166057956979575
14,51.37534430004405,27.025828893820773,21.598826806135175
15,71.77348647382533,23.399161142028024,4.827352384146642
16,65.4700691387421,29.124882244209655,5.405048617048235
17,72.28342550058328,18.449931898362223,9.266642601054505
18,53.6602336710593,32.39194815695759,13.94781817198311
19,83.53802854120161,13.30560903035805,3.156362428440343
20,69.68388693946738,25.48698571431776,4.829127346214854
21,67.06305761312814,19.773438066195776,13.163504320676088
22,86.75201891173441,11.593779778101544,1.6542013101640474
23,86.49440594312769,11.773516030423421,1.7320780264488833
24,57.16003814182243,28.659593434063165,14.180368424114405
25,52.05326273294224,33.72169029833873,14.225046968719038
26,42.107131323299654,37.085732407356225,20.807136269344124
27,48.903046214298776,33.544254273793996,17.552699511907225
28,74.48198661026724,18.017046592040646,7.500966797692104
29,60.30366461758914,26.876806900537694,12.819528481873164
30,22.789355145024665,26.389518321340788,50.82112653363455
31,71.22361298528067,13.295488033750562,15.480898980968778
32,75.56315603925886,14.891231863583078,9.545612097158058
33,71.70185661142254,24.90623245336641,3.3919109352110546
34,68.56516230979852,25.69223360174622,5.742604088455255
35,32.35999695202861,48.53552857341801,19.10447447455338
